1;1;52
2;1;191
3;1;132
4;1;178
5;1;116
6;1;68
7;1;99
8;1;69
9;1;125
10;1;70
11;1;151
12;1;96
13;1;120
14;1;183
15;1;77
16;1;195
17;1;103
18;1;166
19;1;123
20;1;122
21;1;138
22;1;151
23;1;140
24;1;155
25;1;108
26;1;131
27;1;90
28;1;199
29;1;132
30;1;119
31;1;55
1;2;81
2;2;158
3;2;61
4;2;182
5;2;90
6;2;78
7;2;127
8;2;84
9;2;119
10;2;131
11;2;88
12;2;67
13;2;89
14;2;179
15;2;51
16;2;56
17;2;90
18;2;139
19;2;106
20;2;147
21;2;114
22;2;184
23;2;192
24;2;74
25;2;111
26;2;84
27;2;127
28;2;65
1;3;101
2;3;132
3;3;178
4;3;182
5;3;72
6;3;175
7;3;116
8;3;53
9;3;190
10;3;131
11;3;82
12;3;109
13;3;141
14;3;103
15;3;181
16;3;55
17;3;146
18;3;163
19;3;84
20;3;192
21;3;94
22;3;81
23;3;169
24;3;118
25;3;72
26;3;188
27;3;99
28;3;84
29;3;64
30;3;139
31;3;133
1;4;200
2;4;137
3;4;117
4;4;96
5;4;181
6;4;193
7;4;173
8;4;138
9;4;117
10;4;63
11;4;90
12;4;131
13;4;97
14;4;160
15;4;113
16;4;187
17;4;199
18;4;57
19;4;74
20;4;195
21;4;120
22;4;60
23;4;199
24;4;84
25;4;121
26;4;142
27;4;114
28;4;119
29;4;81
30;4;79
1;5;113
2;5;110
3;5;116
4;5;194
5;5;55
6;5;95
7;5;63
8;5;77
9;5;58
10;5;69
11;5;104
12;5;55
13;5;92
14;5;64
15;5;99
16;5;70
17;5;60
18;5;154
19;5;81
20;5;130
21;5;57
22;5;112
23;5;123
24;5;79
25;5;98
26;5;144
27;5;156
28;5;93
29;5;102
30;5;182
31;5;137
1;6;149
2;6;75
3;6;76
4;6;88
5;6;177
6;6;138
7;6;106
8;6;92
9;6;98
10;6;197
11;6;128
12;6;92
13;6;114
14;6;151
15;6;92
16;6;193
17;6;73
18;6;73
19;6;195
20;6;108
21;6;189
22;6;92
23;6;129
24;6;180
25;6;55
26;6;90
27;6;185
28;6;162
29;6;107
30;6;90
1;7;82
2;7;99
3;7;177
4;7;181
5;7;68
6;7;76
7;7;65
8;7;143
9;7;183
10;7;99
11;7;199
12;7;65
13;7;140
14;7;150
15;7;70
16;7;199
17;7;85
18;7;132
19;7;88
20;7;53
21;7;144
22;7;82
23;7;110
24;7;190
25;7;192
26;7;183
27;7;116
28;7;152
29;7;111
30;7;75
31;7;97
1;8;181
2;8;182
3;8;92
4;8;152
5;8;165
6;8;166
7;8;156
8;8;133
9;8;180
10;8;77
11;8;108
12;8;145
13;8;80
14;8;81
15;8;199
16;8;125
17;8;155
18;8;155
19;8;163
20;8;95
21;8;147
22;8;80
23;8;72
24;8;68
25;8;162
26;8;103
27;8;80
28;8;137
29;8;142
30;8;176
31;8;129
1;9;109
2;9;71
3;9;97
4;9;128
5;9;56
6;9;123
7;9;70
8;9;140
9;9;65
10;9;188
11;9;59
12;9;154
13;9;152
14;9;62
15;9;192
16;9;72
17;9;174
18;9;140
19;9;166
20;9;190
21;9;128
22;9;159
23;9;146
24;9;75
25;9;168
26;9;135
27;9;86
28;9;133
29;9;145
30;9;150
1;10;168
2;10;183
3;10;108
4;10;144
5;10;76
6;10;86
7;10;109
8;10;165
9;10;112
10;10;128
11;10;191
12;10;163
13;10;132
14;10;136
15;10;170
16;10;191
17;10;147
18;10;169
19;10;84
20;10;117
21;10;155
22;10;89
23;10;79
24;10;152
25;10;139
26;10;58
27;10;186
28;10;94
29;10;53
30;10;111
31;10;159
1;11;197
2;11;62
3;11;153
4;11;101
5;11;143
6;11;199
7;11;176
8;11;92
9;11;76
10;11;195
11;11;190
12;11;56
13;11;122
14;11;199
15;11;64
16;11;164
17;11;129
18;11;195
19;11;113
20;11;72
21;11;182
22;11;190
23;11;117
24;11;178
25;11;176
26;11;98
27;11;198
28;11;52
29;11;120
30;11;165
1;12;200
2;12;51
3;12;150
4;12;92
5;12;199
6;12;153
7;12;155
8;12;146
9;12;176
10;12;52
11;12;72
12;12;102
13;12;96
14;12;119
15;12;93
16;12;182
17;12;54
18;12;159
19;12;153
20;12;167
21;12;170
22;12;132
23;12;145
24;12;53
25;12;147
26;12;107
27;12;185
28;12;136
29;12;104
30;12;71
31;12;134
